	Data	NWTMean	NWTMeanDev	NWTHetPer	NWTHetPerDev	NWTHtRCon	NpatSdelMean	NpatSdelMeanDev	NpatSdelHetPer	NpatSdelHetPerDev	NpatSdelHtRCon	NhetNdelMean	NhetNdelMeanDev	NhetNdelHetPer	NhetNdelHetPerDev	NhetNdelHtRCon	NpatAdelHetPer	NpatAdelHetPerDev	NpatAdelHtRCon	NpatAhetNdelHetPer	NpatAhetNdelHetPerDev	NpatAhetNdelHtRCon	NhetFdelHtRCon	NpatXpatSdelMean	NpatXpatSdelMeanDev	NpatXpatSdelHetPer	NpatXpatSdelHetPerDev	NpatXpatSdelHtRCon	NpatApatSdelMean	NpatApatSdelMeanDev	NpatApatSdelHetPer	NpatApatSdelHetPerDev	NpatApatSdelHtRCon	NpatXdelMean	NpatXdelMeanDev	NpatXdelHetPer	NpatXdelHetPerDev	NpatXdelHtRCon
59.0		12.2	0.4	8.1	0.4	43.1	5.7	0.2	15.7	0.6	43.3	4.8	0.2	17.9	0.5	57.2	1.7	0.2	53.5	1.9	0.3	55.7	55.7	4.8	0.1	18.0	0.7	44.1	7.5	0.2	12.3	0.4	46.0	10.8	0.3	9.1	0.3	41.8
60.0		12.3	0.4	7.9	0.3	43.4	5.8	0.2	15.4	0.6	44.6	4.9	0.1	17.6	0.4	57.3	1.6	0.1	53.5	1.9	0.3	55.7	55.7	4.9	0.1	17.6	0.7	45.2	7.7	0.2	12.1	0.3	47.1	11.0	0.3	8.9	0.3	42.1
61.0		12.5	0.4	7.8	0.3	43.6	6.0	0.2	15.1	0.5	46.0	4.9	0.2	17.4	0.5	57.2	1.6	0.1	53.5	1.8	0.2	55.7	55.7	5.0	0.1	17.4	0.8	46.2	8.0	0.2	11.8	0.4	48.6	11.2	0.3	8.7	0.3	42.5
62.0		12.7	0.4	7.7	0.3	43.8	6.1	0.2	14.9	0.5	47.4	5.0	0.2	17.1	0.6	57.2	1.5	0.1	53.6	1.7	0.2	55.7	55.7	5.1	0.1	17.1	0.7	47.3	8.1	0.2	11.6	0.4	49.7	11.4	0.3	8.6	0.3	42.9
63.0		12.9	0.4	7.5	0.2	44.1	6.1	0.2	14.7	0.5	48.4	5.1	0.1	16.9	0.6	57.2	1.5	0.1	53.6	1.7	0.2	55.7	55.7	5.2	0.1	17.0	0.7	48.2	8.1	0.2	11.5	0.3	50.6	11.6	0.4	8.4	0.3	43.1
64.0		13.0	0.4	7.4	0.3	44.3	6.1	0.2	14.7	0.6	49.0	5.1	0.2	16.6	0.5	57.3	1.4	0.1	53.6	1.7	0.2	55.6	55.6	5.2	0.1	16.9	0.7	48.8	8.3	0.2	11.3	0.3	51.6	11.8	0.4	8.3	0.3	43.4
65.0		13.2	0.4	7.3	0.2	44.5	6.1	0.2	14.7	0.6	49.2	5.2	0.2	16.4	0.6	57.4	1.4	0.1	53.7	1.6	0.2	55.7	55.7	5.2	0.1	16.9	0.6	49.2	8.4	0.2	11.2	0.3	52.4	11.9	0.3	8.2	0.3	43.6
66.0		13.2	0.4	7.2	0.2	44.7	6.1	0.2	14.6	0.6	49.4	5.2	0.2	16.3	0.5	57.4	1.4	0.1	53.7	1.6	0.3	55.7	55.7	5.2	0.1	16.9	0.5	49.1	8.3	0.2	11.2	0.2	52.6	11.9	0.3	8.2	0.3	43.8
67.0		13.3	0.4	7.1	0.2	44.9	6.0	0.1	14.9	0.5	48.7	5.2	0.2	16.2	0.5	57.5	1.4	0.1	53.8	1.6	0.2	55.6	55.6	5.1	0.1	16.9	0.6	48.9	8.4	0.2	11.2	0.2	52.7	12.0	0.3	8.1	0.2	43.9
68.0		13.3	0.4	7.1	0.3	45.0	5.9	0.1	15.0	0.4	47.6	5.3	0.2	16.2	0.5	57.5	1.4	0.1	53.7	1.6	0.2	55.6	55.6	5.1	0.1	17.0	0.7	48.1	8.3	0.2	11.3	0.3	52.6	12.0	0.3	8.1	0.3	44.0
69.0		13.4	0.4	7.1	0.2	45.1	5.8	0.1	15.2	0.4	46.6	5.3	0.2	16.2	0.5	57.5	1.4	0.1	53.7	1.6	0.2	55.6	55.6	5.1	0.1	17.1	0.7	47.6	8.1	0.2	11.5	0.3	52.0	12.0	0.3	8.1	0.3	44.1
70.0		13.3	0.4	7.2	0.2	45.0	5.7	0.1	15.4	0.4	45.5	5.3	0.2	16.1	0.5	57.6	1.4	0.1	53.7	1.5	0.3	55.6	55.6	4.9	0.1	17.5	0.6	46.0	7.9	0.2	11.7	0.3	50.9	11.9	0.3	8.2	0.2	44.0
71.0		13.1	0.4	7.2	0.2	45.0	5.6	0.1	15.7	0.4	44.1	5.2	0.1	16.2	0.5	57.5	1.3	0.1	53.7	1.6	0.2	55.6	55.6	4.9	0.1	17.6	0.6	44.7	7.8	0.2	11.8	0.2	49.9	11.8	0.3	8.2	0.3	43.9
72.0		13.1	0.4	7.3	0.2	44.9	5.6	0.1	15.8	0.4	42.8	5.2	0.1	16.4	0.4	57.5	1.3	0.2	53.7	1.6	0.2	55.6	55.6	4.8	0.1	17.8	0.5	43.8	7.7	0.2	12.0	0.3	48.7	11.6	0.3	8.3	0.3	43.7
73.0		12.9	0.4	7.3	0.2	44.7	5.5	0.1	16.0	0.4	41.6	5.1	0.1	16.5	0.4	57.5	1.3	0.1	53.8	1.6	0.2	55.6	55.6	4.8	0.1	18.0	0.6	43.0	7.5	0.2	12.3	0.3	47.6	11.3	0.3	8.5	0.3	43.4
74.0		12.7	0.4	7.5	0.2	44.5	5.5	0.1	16.0	0.4	40.9	5.1	0.1	16.6	0.3	57.4	1.3	0.1	53.7	1.6	0.2	55.6	55.6	4.7	0.1	18.1	0.6	42.3	7.4	0.2	12.4	0.3	46.5	11.2	0.3	8.6	0.2	43.1
75.0		12.6	0.3	7.5	0.2	44.3	5.4	0.1	16.1	0.3	40.4	5.1	0.1	16.8	0.3	57.4	1.3	0.1	53.8	1.6	0.2	55.6	55.6	4.7	0.1	18.2	0.6	41.7	7.2	0.2	12.6	0.3	45.3	11.1	0.3	8.6	0.3	43.0
76.0		12.5	0.3	7.6	0.2	44.1	5.4	0.1	16.1	0.3	40.2	5.0	0.1	16.8	0.3	57.3	1.3	0.1	53.8	1.5	0.2	55.6	55.6	4.7	0.1	18.1	0.5	41.6	7.2	0.2	12.6	0.3	44.5	11.0	0.3	8.7	0.3	42.8
